seoulDate,seoulConfirmed,allDate,allConfirmed,addConfirmed
2021.02.10.00,25544,2021.02.10.00,81930,444
2021.02.09.00,25369,2021.02.09.00,81487,303
2021.02.08.00,25279,2021.02.08.00,81190,289
2021.02.07.00,25167,2021.02.07.00,80896,372
2021.02.06.00,25023,2021.02.06.00,80524,393
2021.02.05.00,24880,2021.02.05.00,80131,370
2021.02.04.00,24755,2021.02.04.00,79762,451
2021.02.03.00,24583,2021.02.03.00,79311,467
2021.02.02.00,24395,2021.02.02.00,78844,336
2021.02.01.00,24267,2021.02.01.00,78508,305
2021.01.31.00,24162,2021.01.31.00,78205,355
2021.01.30.00,24061,2021.01.30.00,77850,458
2021.01.29.00,23908,2021.01.29.00,77395,469
2021.01.28.00,23797,2021.01.28.00,76926,497
2021.01.27.00,23692,2021.01.27.00,76429,559
2021.01.26.00,23563,2021.01.26.00,75875,354
2021.01.25.00,23459,2021.01.25.00,75521,437
2021.01.24.00,23357,2021.01.24.00,75084,392
2021.01.23.00,23224,2021.01.23.00,74692,431
2021.01.22.00,23097,2021.01.22.00,74262,346
2021.01.21.00,22984,2021.01.21.00,73918,401
2021.01.20.00,22859,2021.01.20.00,73518,404
2021.01.19.00,22717,2021.01.19.00,73115,386
2021.01.18.00,22616,2021.01.18.00,72729,389
2021.01.17.00,22484,2021.01.17.00,72340,520
2021.01.16.00,22339,2021.01.16.00,71820,580
2021.01.15.00,22183,2021.01.15.00,71241,513
2021.01.14.00,22056,2021.01.14.00,70728,524
2021.01.13.00,21922,2021.01.13.00,70212,562
2021.01.12.00,21771,2021.01.12.00,69651,537
2021.01.11.00,21604,2021.01.11.00,69114,451
2021.01.10.00,21463,2021.01.10.00,68664,665
2021.01.09.00,21276,2021.01.09.00,67999,641
2021.01.08.00,21088,2021.01.08.00,67358,674
2021.01.07.00,20899,2021.01.07.00,66686,870
2021.01.06.00,20602,2021.01.06.00,65818,840
2021.01.05.00,20338,2021.01.05.00,64979,715
2021.01.04.00,20138,2021.01.04.00,64264,1020
2021.01.03.00,19809,2021.01.03.00,63244,657
2021.01.02.00,19614,2021.01.02.00,62593,824
2021.01.01.00,19363,2021.01.01.00,61769,1029
2020.12.31.00,19004,2020.12.31.00,60740,967
2020.12.30.00,18638,2020.12.30.00,59773,1050
2020.12.29.00,18253,2020.12.29.00,58725,1046
2020.12.28.00,17731,2020.12.28.00,57680,808
2020.12.27.00,17430,2020.12.27.00,56872,970
2020.12.26.00,17068,2020.12.26.00,55902,1132
2020.12.25.00,16602,2020.12.25.00,54770,1216
2020.12.24.00,16050,2020.12.24.00,53533,985
2020.12.23.00,15732,2020.12.23.00,52550,1092
2020.12.22.00,15356,2020.12.22.00,51460,869
2020.12.21.00,15039,2020.12.21.00,50591,926
2020.12.20.00,14711,2020.12.20.00,49665,1097
2020.12.19.00,14240,2020.12.19.00,48570,1053
2020.12.18.00,13856,2020.12.18.00,47515,1062
2020.12.17.00,13458,2020.12.17.00,46453,1014
2020.12.16.00,13035,2020.12.16.00,45442,1078
2020.12.15.00,12657,2020.12.15.00,44364,880
2020.12.14.00,12406,2020.12.14.00,43484,718
2020.12.13.00,12187,2020.12.13.00,42766,1030
2020.12.12.00,11788,2020.12.12.00,41736,950
2020.12.11.00,11426,2020.12.11.00,40786,689
2020.12.10.00,11175,2020.12.10.00,40098,682
2020.12.09.00,10932,2020.12.09.00,39432,686
2020.12.08.00,10663,2020.12.08.00,38755,594
2020.12.07.00,10449,2020.12.07.00,38161,615
2020.12.06.00,10205,2020.12.06.00,37546,631
2020.12.05.00,9951,2020.12.05.00,36915,583
2020.12.04.00,9716,2020.12.04.00,36332,629
2020.12.03.00,9421,2020.12.03.00,35703,540
2020.12.02.00,9159,2020.12.02.00,35163,511
2020.12.01.00,8966,2020.12.01.00,34652,451
2020.11.30.00,8811,2020.11.30.00,34201,438
2020.11.29.00,8652,2020.11.29.00,33824,450
2020.11.28.00,8494,2020.11.28.00,33375,504
2020.11.27.00,8317,2020.11.27.00,32887,569
2020.11.26.00,8113,2020.11.26.00,32318,583
2020.11.25.00,7900,2020.11.25.00,31735,382
2020.11.24.00,7758,2020.11.24.00,31353,349
2020.11.23.00,7625,2020.11.23.00,31004,271
2020.11.22.00,7513,2020.11.22.00,30733,330
2020.11.21.00,7392,2020.11.21.00,30403,386
2020.11.20.00,7236,2020.11.20.00,30017,363
2020.11.19.00,7104,2020.11.19.00,29654,343
2020.11.18.00,6995,2020.11.18.00,29311,313
2020.11.17.00,6903,2020.11.17.00,28998,230
2020.11.16.00,6814,2020.11.16.00,28769,223
2020.11.15.00,6733,2020.11.15.00,28546,208
2020.11.14.00,6648,2020.11.14.00,28338,205
2020.11.13.00,6579,2020.11.13.00,28133,191
2020.11.12.00,6505,2020.11.12.00,27942,143
2020.11.11.00,6452,2020.11.11.00,27799,146
2020.11.10.00,6407,2020.11.10.00,27653,100
2020.11.09.00,6372,2020.11.09.00,27553,126
2020.11.08.00,6326,2020.11.08.00,27427,143
2020.11.07.00,6272,2020.11.07.00,27284,89
2020.11.06.00,6235,2020.11.06.00,27195,145
2020.11.05.00,6195,2020.11.05.00,27050,125
2020.11.04.00,6145,2020.11.04.00,26925,118
2020.11.03.00,6103,2020.11.03.00,26807,75
2020.11.02.00,6081,2020.11.02.00,26732,97
2020.11.01.00,6056,2020.11.01.00,26635,124
2020.10.31.00,6011,2020.10.31.00,26511,127
2020.10.30.00,5960,2020.10.30.00,26385,114
2020.10.29.00,5912,2020.10.29.00,26271,125
2020.10.28.00,5876,2020.10.28.00,26146,103
2020.10.27.00,5851,2020.10.27.00,26043,88
2020.10.26.00,5827,2020.10.26.00,25955,119
2020.10.25.00,5807,2020.10.25.00,25836,61
2020.10.24.00,5790,2020.10.24.00,25775,77
2020.10.23.00,5768,2020.10.23.00,25698,155
2020.10.22.00,5748,2020.10.22.00,25543,121
2020.10.21.00,5730,2020.10.21.00,25424,91
2020.10.20.00,5713,2020.10.20.00,25333,58
2020.10.19.00,5702,2020.10.19.00,25275,76
2020.10.18.00,5688,2020.10.18.00,25199,91
2020.10.17.00,5668,2020.10.17.00,25108,73
2020.10.16.00,5650,2020.10.16.00,25035,47
2020.10.15.00,5632,2020.10.15.00,24988,110
2020.10.14.00,5607,2020.10.14.00,24889,84
2020.10.13.00,5584,2020.10.13.00,24805,102
2020.10.12.00,5564,2020.10.12.00,24703,97
2020.10.11.00,5533,2020.10.11.00,24606,58
2020.10.10.00,5510,2020.10.10.00,24548,72
2020.10.09.00,5485,2020.10.09.00,24476,54
2020.10.08.00,5463,2020.10.08.00,24422,69
2020.10.07.00,5443,2020.10.07.00,24353,114
2020.10.06.00,5410,2020.10.06.00,24239,75
2020.10.05.00,5395,2020.10.05.00,24164,73
2020.10.04.00,5376,2020.10.04.00,24091,64
2020.10.03.00,5360,2020.10.03.00,24027,75
2020.10.02.00,5334,2020.10.02.00,23952,63
2020.10.01.00,5323,2020.10.01.00,23889,77
2020.09.30.00,5293,2020.09.30.00,23812,113
2020.09.29.00,5242,2020.09.29.00,23699,38
2020.09.28.00,5231,2020.09.28.00,23661,50
2020.09.27.00,5212,2020.09.27.00,23611,95
2020.09.26.00,5178,2020.09.26.00,23516,61
2020.09.25.00,5152,2020.09.25.00,23455,114
2020.09.24.00,5095,2020.09.24.00,23341,125
2020.09.23.00,5056,2020.09.23.00,23216,110
2020.09.22.00,5016,2020.09.22.00,23106,61
2020.09.21.00,4995,2020.09.21.00,23045,70
